校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立臺灣師範大學,科技應用與人力資源發展學系,---,數學甲(分科) x 1.25、英　文(學測) x 1.25、物　理(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,圖文傳播學系,---,英　文(學測) x 1.25、國　文(學測) x 1.25、數學甲(分科) x 1.00
國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,英　文 (均標),英　文(學測) x 2.00、國　文(學測) x 2.00、數學 B(學測) x 1.75、公民與社會(分科) x 1.00
國立臺灣師範大學,營養科學學士學位學程,---,化　學(分科) x 1.50、生　物(分科) x 1.50、英　文(學測) x 1.50、數學 A(學測) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,機電工程學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.50、化　學(分科) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,美術學系水墨畫組,---,美　術(術科) x 1.50、國　文(學測) x 1.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺灣師範大學,教育學院學士班,數學 A (均標)或 數學 B (均標),英　文(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立臺灣師範大學,華語文教學系應用華語文學組,國　文 (均標) 英　文 (均標),英　文(學測) x 1.50、國　文(學測) x 1.50、歷　史(分科) x 1.00
國立臺灣師範大學,電機工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,臺灣語文學系,---,英　文(學測) x 1.50、公民與社會(分科) x 1.50、國　文(學測) x 1.00、歷　史(分科) x 1.50、地　理(分科) x 1.00
國立臺灣師範大學,學習科學學士學位學程,---,數學甲(分科) x 2.00、國　文(學測) x 1.50、英　文(學測) x 1.50
國立臺灣師範大學,光電工程學士學位學程,---,物　理(分科) x 2.00、數學甲(分科) x 2.00、化　學(分科) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,車輛與能源工程學士學位學程,---,數學甲(分科) x 1.50、物　理(分科) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,音樂學系,---,音　樂(術科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺灣師範大學,物理學系國際組,英　文 (均標),物　理(分科) x 1.50、數學甲(分科) x 1.25、英　文(學測) x 1.25
國立臺灣師範大學,設計學系產品設計組,---,英　文(學測) x 2.00、國　文(學測) x 2.00、數學乙(分科) x 1.75
國立中興大學,中國文學系,---,國　文(學測) x 2.00、英　文(學測) x 1.50、歷　史(分科) x 1.25
國立中興大學,外國語文學系,---,英　文(學測) x 2.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立中興大學,財務金融學系,---,英　文(學測) x 2.00、數學乙(分科) x 2.00、國　文(學測) x 1.00
國立中興大學,企業管理學系,英　文 (均標),英　文(學測) x 2.00、數學乙(分科) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立中興大學,法律學系,---,國　文(學測) x 1.50、英　文(學測) x 1.00、數學 B(學測) x 1.00、公民與社會(分科) x 1.50、歷　史(分科) x 1.00
國立中興大學,園藝學系,---,生　物(分科) x 2.00、化　學(分科) x 1.50、英　文(學測) x 1.50、數學 B(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,歷史學系,---,歷　史(分科) x 1.50、國　文(學測) x 1.00、英　文(學測) x 1.00、地　理(分科) x 1.00
國立中興大學,物理學系一般物理組,---,物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,資訊工程學系,國　文 (均標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00
國立中興大學,機械工程學系甲組,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.50、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,土木工程學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.00
國立中興大學,環境工程學系,---,化　學(分科) x 1.50、數學甲(分科) x 1.50、物　理(分科) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,電機工程學系甲組,國　文 (均標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,農藝學系,數學 A (均標)或 數學 B (均標),英　文(學測) x 1.50、生　物(分科) x 1.50、化　學(分科) x 1.50、國　文(學測) x 1.00
國立中興大學,應用經濟學系,---,英　文(學測) x 2.00、數學甲(分科) x 1.50、國　文(學測) x 1.00
國立中興大學,植物病理學系,數學 A (均標),生　物(分科) x 1.50、化　學(分科) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,昆蟲學系,數學 A (均標)或 數學 B (均標),生　物(分科) x 1.50、化　學(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
國立中興大學,動物科學系,---,生　物(分科) x 1.50、化　學(分科) x 1.50、英　文(學測) x 1.50、數學 A(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,水土保持學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、自　然(學測) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,行銷學系,數學 A (均標)或 數學 B (前標)英　聽 (B級),數學乙(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立中興大學,化學系,---,化　學(分科) x 2.00、數學甲(分科) x 2.00、英　文(學測) x 1.50、物　理(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,應用數學系應用數學組,---,數學甲(分科) x 2.00、英　文(學測) x 1.50、物　理(分科) x 1.50、國　文(學測) x 1.00、化　學(分科) x 1.00
國立中興大學,生命科學系,---,生　物(分科) x 1.75、化　學(分科) x 1.75、英　文(學測) x 1.00
國立中興大學,化學工程學系,---,物　理(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中興大學,材料科學與工程學系,---,物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立中興大學,森林學系林學組,---,英　文(學測) x 1.50、生　物(分科) x 1.50、化　學(分科) x 1.00、物　理(分科) x 1.00、數學 B(學測) x 1.00
