校名,學系名稱,採計科目及加權(含學測、分科及術科),錄取分數,平均
東吳大學,數學系,國x1.50、英x1.50、數甲x2.00,119,23.80
東吳大學,物理學系,英x1.00、數甲x1.50、物x2.00,101.5,22.56
東吳大學,化學系,英x1.00、數甲x1.50、化x2.00,87.5,19.44
東吳大學,微生物學系,國x1.00、英x1.50、化x1.50,109.5,27.38
東吳大學,心理學系,國x1.00、英x2.00、數甲x1.50,143,31.78
東吳大學,法律學系,國x2.00、英x2.00、歷x1.00、公x1.50,309.5,47.62
東吳大學,經濟學系,國x1.50、英x2.00、數Bx2.00、公x1.00,224,34.46
東吳大學,會計學系,英x1.25、數Bx1.25、公x1.00,135.5,38.71
東吳大學,企業管理學系,英x1.00、數Bx1.00、公x1.00,99,33.00
東吳大學,國際經營與貿易學系,國x1.00、英x2.00、數Bx1.50、公x1.00,199,36.18
東吳大學,財務工程與精算數學系,國x1.00、英x1.00、數Bx2.00、公x1.00,156,31.20
東吳大學,資訊管理學系,英x1.25、數Bx1.50、公x1.00,116,30.93
東吳大學,資料科學系,英x1.50、數Bx1.50、公x1.00,100,25.00
國立政治大學,中國文學系,國x1.50、英x1.25、地x1.00、歷x1.00,236,49.68
國立政治大學,歷史學系,國x1.00、英x1.00、社x1.00、地x1.00、歷x1.50,284.5,51.73
國立政治大學,哲學系,國x1.25、英x1.25、數Bx1.00、歷x1.00、公x1.25,271.5,47.22
國立政治大學,教育學系,國x1.00、英x2.00、數Bx1.00、社x1.00、公x2.00,334,47.71
國立政治大學,政治學系,國x1.75、英x1.75、歷x1.00、公x2.00,331,50.92
國立政治大學,社會學系,國x1.00、英x2.00、公x2.00,250,50.00
國立政治大學,財政學系(A組),國x1.00、英x1.50、數Ax1.50、公x1.00,234,46.80
國立政治大學,財政學系(B組),國x1.00、英x1.50、數甲x1.50,181.5,45.38
國立政治大學,公共行政學系,國x1.00、英x2.00、公x2.00,253,50.60
國立政治大學,地政學系土地資源規劃組,國x1.50、英x1.50、數Ax1.50、地x1.00、公x1.00,304,46.77
國立政治大學,地政學系土地管理組,國x1.50、英x1.50、數Ax1.50、地x1.00、公x1.00,310,47.69
國立政治大學,地政學系土地測量與資訊組,國x1.25、英x1.50、數甲x2.00、物x1.00、化x1.00,268,39.70
國立政治大學,經濟學系(社會組),英x1.50、數Ax2.00、公x1.00,210.5,46.78
國立政治大學,經濟學系(自然組),英x1.50、自x1.00、數甲x2.00,198,44.00
國立政治大學,民族學系,國x1.00、英x1.00、地x1.25、歷x1.25、公x1.50,293.75,48.96
國立政治大學,外交學系,國x1.50、英x1.75、地x1.00、歷x1.00、公x1.00,324.5,51.92
國立政治大學,國際經營與貿易學系(A組),國x1.50、英x2.00、數Ax2.00、地x1.00、歷x1.00,366.5,48.87
國立政治大學,國際經營與貿易學系(B組),國x1.50、英x2.00、數甲x2.00,258,46.91
國立政治大學,金融學系(社會組),國x1.00、英x2.00、數Ax2.00、公x1.00,296,49.33
國立政治大學,金融學系(自然組),國x1.00、英x1.50、數甲x2.00,212.5,47.22
國立政治大學,會計學系(A組),國x1.50、英x2.00、數Ax2.00、公x1.00,307,47.23
國立政治大學,會計學系(B組),國x1.50、英x2.00、數甲x2.00,257,46.73
國立政治大學,統計學系(A組),國x1.50、英x1.50、數甲x2.00、地x1.00、歷x1.00,329.5,47.07
國立政治大學,統計學系(B組),國x1.50、英x1.50、數甲x2.00、物x1.00、化x1.00,307.5,43.93
國立政治大學,企業管理學系(A組),國x1.00、英x1.00、數Ax1.00、地x1.50、歷x1.50,302.5,50.42
國立政治大學,企業管理學系(B組),國x1.00、英x1.00、數甲x2.00,179,44.75
國立政治大學,資訊管理學系(社會組),國x1.00、英x2.00、數Ax2.00、地x1.00、公x1.00,334,47.71
國立政治大學,資訊管理學系(自然組),國x1.00、英x2.00、數甲x2.00,226,45.20
國立政治大學,財務管理學系(A組),國x1.00、英x1.50、地x1.00、歷x1.00、公x1.00,296,53.82
國立政治大學,財務管理學系(B組),國x1.00、英x1.50、數甲x2.00,218.5,48.56
國立政治大學,風險管理與保險學系(A組),國x1.50、英x2.00、數Ax2.00、公x1.00,307.5,47.31
國立政治大學,風險管理與保險學系(B組),國x1.50、英x2.00、數甲x2.00,249.5,45.36
國立政治大學,傳播學院大一大二不分系(社會組),國x1.50、英x1.50、數Bx1.00、歷x1.00、公x1.00,291.5,48.58
國立政治大學,傳播學院大一大二不分系(自然組),國x1.00、英x1.50、數Ax1.50、物x1.00、化x1.00,266,44.33
國立政治大學,英國語文學系,國x1.50、英x2.00、數Bx1.00、地x1.00、歷x1.00,316.5,48.69
國立政治大學,阿拉伯語文學系,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.25,290.5,46.48
國立政治大學,斯拉夫語文學系,國x1.50、英x1.50、地x1.00、歷x1.00,245.5,49.10
國立政治大學,日本語文學系,國x1.50、英x1.50、地x1.00、歷x1.00,254.5,50.90
國立政治大學,韓國語文學系,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,288,48.00
國立政治大學,土耳其語文學系,國x2.00、英x2.00、地x1.00、歷x1.50,317,48.77
國立政治大學,歐洲語文學系法文組,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,290,48.33
國立政治大學,歐洲語文學系德文組,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,291.5,48.58
